playlist_position,curriculum_order,module,module_name,priority,guest,organisation,part,canonical_episode,published,minutes,domains,core_mental_model,transferable_lesson,prerequisites,redundancy_overlap,in_top_10,in_top_25,video_id,url,youtube_title
1,71,M10,Personal Operating System,S,Mukesh Bansal,Myntra / Cult.fit / Nurix,2,S3E17,2026-08-17,63,Personal OS; Thinking; Organisation,"'No means not now' - rejection as timing, not verdict; the learning-vs-winning 2x2","The densest personal-operating-system episode in the series: explicit mental models, how he writes books by showing up to a blank page, hiring by working with someone for six months, separating longevity basics from abandoned biohacking, loyalty to a mission rather than to a person, and rating his own life an 8.",Mukesh Bansal Part 1 (M2) first,"Absorbs and improves on the personal-battery content of nearly every other Part 2 - if you watch one back-half, watch this one",yes,yes,qRwsrcf0ua0,https://www.youtube.com/watch?v=qRwsrcf0ua0,"Part 2: Mukesh Bansal on hiring for loyalty to a mission, ""no means not now"", writing three books..."
2,10,M2,Entrepreneurship,A,Mukesh Bansal,Myntra / Cult.fit / Nurix,1,S3E17,2026-08-10,57,Entrepreneurship; Thinking; Product,Three kinds of professionals in the AI age; founder mode reversed by AI,"The most current episode in the series on how AI changes the operator/manager balance - the hands-on builder gains, the pure people-manager loses. Also: deliberately rejecting the single-company compounding path in favour of learning rate.",None,AI-age content is unique in the playlist; serial-founder psychology overlaps Chetan Maini (M2),,yes,vnlSnbOek30,https://www.youtube.com/watch?v=vnlSnbOek30,"Part 1: Mukesh Bansal on founder mode in the AI age, the three kinds of professionals in the AI a..."
3,45,M6,Business economics,B,Kanwal Singh,Fireside Ventures,2,S3E16,2026-07-27,60,Business economics; Organisation; Personal OS,Capping the fund: turning down 2x the money you could raise,"Capital discipline as strategy, plus backing the founder over the idea and reading a founder by meeting their family. Strong second half, but the density is in Part 1.",Watch Part 1 first,Hiring-by-reading-people overlaps Anand Jain P2 (M1) and Krish Subramanian (M7),,,SRAYZ7zdoPs,https://www.youtube.com/watch?v=SRAYZ7zdoPs,"Fireside Ventures' Kanwaljit Singh on the decade at Hindustan Lever that gave him consumer, raisi..."
4,44,M6,Business economics,A,Kanwal Singh,Fireside Ventures,1,S3E16,2026-07-20,62,Business economics; Strategy; India,"Anti-power-law portfolio design, and the India 1 / 2 / 3 consumer map","The only investor-side view in the playlist, and it is a good one: designing the fund itself as the bet, ownership and follow-on by design, and a working segmentation of the Indian consumer worth stealing outright.",None,India 1/2/3 segmentation overlaps Manish Sabharwal (M9) at the macro level,,,9-elbuGzT4U,https://www.youtube.com/watch?v=9-elbuGzT4U,"Fireside Ventures' Kanwal Singh on the consumer-brands bet nobody believed in, why ""for a 5x, nob..."
5,36,M5,Distribution,S,Saahil Goel,Shiprocket,2,S3E15,2026-07-13,62,Distribution; Strategy; Organisation,Distribution beats product - stated as an explicit operating first principle,"The clearest articulation in the series of distribution as the moat, plus the two or three metrics he actually obsesses over and why he believes you cannot manage people, only select them.",Watch Part 1 first,"Complements rather than repeats Sahil Barua (M1): Barua on network physics, Goel on aggregating demand",yes,yes,UnRLdLYx_Kg,https://www.youtube.com/watch?v=UnRLdLYx_Kg,Part 2: Saahil Goel of Shiprocket on wanting a paisa of every Indian transaction outside the mark...
6,35,M5,Distribution,A,Saahil Goel,Shiprocket,1,S3E15,2026-07-07,65,Distribution; India; Business economics,"In India you sell outcomes, not software","Why Indian SMBs would not pay for software, and how that single constraint forced three rebuilds (Craftly -> KartRocket -> Shiprocket). Also an honest account of an investor ultimatum and how much capital the journey actually consumed.",None,SMB monetisation overlaps Bisu P1 (M6) and Alok Mittal P1 (M8),,,BXwNUqJBO9A,https://www.youtube.com/watch?v=BXwNUqJBO9A,"Part 1: Saahil Goel of Shiprocket on rebuilding the same company three times,  the $4 million he ..."
7,38,M5,Distribution,A,Riyaaz Amlani,Impresario / Social,2,S3E14,2026-06-22,64,Distribution; Strategy,'Digital landlords' - when the aggregator owns your customer,"The best aggregator-power episode in the series: how Zomato and Swiggy trained demand, why restaurateurs who send guests to aggregators have themselves to blame, the Booking.com/hotels parallel, and why delivery and dine-in are different businesses.",Watch Part 1 first,Platform-dependency theme is unique here; complements Saahil Goel P2 (aggregator side of the same coin),,yes,fdQ0yMEJ0dg,https://www.youtube.com/watch?v=fdQ0yMEJ0dg,"Part 2: Impresario's Riyaaz Amlani on digital landlords, doers & divas, and why delivery will nev..."
8,37,M5,Distribution,B,Riyaaz Amlani,Impresario / Social,1,S3E14,2026-06-15,64,Distribution; Business economics; India,"Location vs locality, and the operating metric: AOV x covers x table turnaround","Twenty-five years in the highest-mortality business there is, including four near-deaths. Strong on unit economics you can hold in your head, and on real estate as the actual product.",None,Asset-utilisation overlaps Ritesh Agarwal P1 (M4),,,CdY4wBhYIWY,https://www.youtube.com/watch?v=CdY4wBhYIWY,"Part 1: Impresario's Riyaaz Amlani on Mocha, ""Handmade,"" four near-deaths and 25 years of buildin..."
9,43,M6,Business economics,A,Lal Chand Bisu,Kuku FM,2,S3E13,2026-05-04,75,Business economics; Thinking; Personal OS,'The full equation' - CAC alone is meaningless,"Track revenue, CAC, LTV and cohort profit as one object; the two real metrics are equation health and engagement. Also: saying no requires more work than saying yes, and most learning comes from iterations rather than books.",Watch Part 1 first,Metrics discipline overlaps Saahil Goel P2 (M5) and Riyaaz Amlani P1 (M5),,,mftGICdVI9M,https://www.youtube.com/watch?v=mftGICdVI9M,"Part 2: Kuku’s Lal Chand Bisu on the Bathoth-to-Bandra arc, learning from iterations not books, a..."
10,42,M6,Business economics,S,Lal Chand Bisu,Kuku FM,1,S3E13,2026-04-27,64,Business economics; India; Product,Pricing courage: kill the free tier and charge Bharat,"In January 2021 Kuku cut the free tier and charged Rs 399/year against investor pushback, and never took ads. Rich Dad Poor Dad drew 40 million Hindi listens. The definitive refutation of 'Indians will not pay' - and the series' best pricing episode.",None,"Bharat willingness-to-pay overlaps Lalit Keshre (M3), Smita Deorah (M9), Aloke Bajpai (M9) - Bisu is the sharpest",yes,yes,ulPDyeHDPDM,https://www.youtube.com/watch?v=ulPDyeHDPDM,"Part 1: Kuku's Lal Chand Bisu on killing three products, ditching the free tier and charging Bhar..."
